STATION_NO,STATUT,DATE_MAJ_ISO,STATIONNEMENT,OBJECTID,X_32187,Y_32187,LON_WGS84,LAT_WGS84,RUE_REVERSE
0001,Éteint,2025-12-31T21:15:39,Permis,723,249302.17487499956,5187098.581499999,-71.22734798125619,46.82112365027726,"197-299 2e Av, Quebec, QC, G1L 3A5, CAN"
0002,Éteint,2025-12-31T21:15:39,Permis,518,249225.56137499958,5187256.616374999,-71.22837118502241,46.82253888708796,"210-298 5e Rue, Quebec, QC, G1L, CAN"
0003,Éteint,2025-12-31T21:15:39,Permis,51,249127.4299999997,5187415.823999999,-71.22967658748345,46.8239628662483,"704-796 2e Av, Quebec, QC, G1L, CAN"
0004,Éteint,2025-12-31T21:15:39,Permis,419,249009.06199999992,5187579.296,-71.23124779684157,46.825423496293,"905-997 2e Av, Quebec, QC, G1L 3C2, CAN"
0005,Éteint,2025-12-31T21:15:39,Permis,1144,248877.42700000014,5187794.839,-71.23299933881546,46.827351400459435,"1205-1297 2e Av, Quebec, QC, G1L 3C8, CAN"
0006,Éteint,2025-12-31T21:15:39,Permis,52,248853.31400000025,5188143.66,-71.23335804987177,46.83048722949726,"311-387 16e Rue, Quebec, QC, G1L, CAN"
0007,Éteint,2025-12-31T21:15:39,Permis,918,249027.76499999966,5187854.898,-71.23103629003252,46.8279042690371,"1200-1296 3e Av, Quebec, QC, G1L 2X7, CAN"
0008,Éteint,2025-12-31T21:15:39,Permis,1052,249115.22300000023,5187687.149,-71.22986960131864,46.82640258029319,"901-997 3e Av, Quebec, QC, G1L 2X2, CAN"
0009,Éteint,2025-12-31T21:15:39,Permis,1145,249262.61500000022,5187441.922,-71.22790809244454,46.82420891475266,"601-699 3e Av, Quebec, QC, G1L 2W5, CAN"
0010,Éteint,2025-12-31T21:15:39,Permis,1030,249436.2960000001,5187193.197000001,-71.22560180277914,46.82198593178704,"200-296 3e Av, Quebec, QC, G1L 2V6, CAN"
0011,Hors service,2025-12-31T21:15:39,Feu clignotant hors service,529,249535.63200000022,5187002.453,-71.22427695985834,46.82027831515348,"50-74 3e Av, Quebec, QC, G1L 2V4, CAN"
0012,Éteint,2025-12-31T21:15:39,Permis,309,249651.1129999999,5187164.206,-71.22278312827972,46.82174295189692,"141-195 4e Av, Quebec, QC, G1J, CAN"
0013,Éteint,2025-12-31T21:15:39,Permis,139,249514.71800000034,5187403.181,-71.22459946212824,46.82388137973286,"400-490 4e Av, Quebec, QC, G1J 2Z9, CAN"
0014,Éteint,2025-12-31T21:15:39,Permis,1031,249337.5719999997,5187674.137,-71.22695390109547,46.82630407503308,"800-896 4e Av, Quebec, QC, G1J 3A7, CAN"
0015,Éteint,2025-12-31T21:15:39,Permis,956,249186.70199999958,5187921.92,-71.22896134412251,46.828520458375564,"1102-1198 4e Av, Quebec, QC, G1J 3B3, CAN"
0016,Éteint,2025-12-31T21:15:39,Permis,949,249035.30900000036,5188171.471000001,-71.23097602352472,46.83075266516461,"1504-1592 4e Av, Quebec, QC, G1J 3C1, CAN"
0017,Éteint,2025-12-31T21:15:39,Permis,302,248949.83000000007,5188310.778999999,-71.23211342438081,46.831998662989825,"1700-1798 4e Av, Quebec, QC, G1J 3C5, CAN"
0018,Éteint,2025-12-31T21:15:39,Permis,301,249075.72300000023,5188375.120999999,-71.23047113402633,46.83258800065146,"1705-1755 8e Av, Quebec, QC, G1J, CAN"
0019,Éteint,2025-12-31T21:15:39,Permis,436,249293.64599999972,5188046.068,-71.22757474372808,46.829646163665615,"1210-1300 8e Av, Quebec, QC, G1J 5L5, CAN"
0020,Éteint,2025-12-31T21:15:39,Permis,1027,249367.1710000001,5188002.396,-71.22660576713106,46.82925942915295,"1101-1195 8e Av, Quebec, QC, G1J 3N3, CAN"
0021,Éteint,2025-12-31T21:15:39,Permis,1029,249776.20999999996,5187369.568,-71.22116844120592,46.82360065377742,"263-289 8e Av, Quebec, QC, G1J, CAN"
0022,Éteint,2025-12-31T21:15:39,Permis,304,249634.37100000028,5187589.09,-71.22305377693652,46.82556366398495,"511-595 8e Av, Quebec, QC, G1J, CAN"
0023,Éteint,2025-12-31T21:15:39,Permis,669,249462.7209999999,5187854.43,-71.22533550844567,46.827936327482576,"915-977 8e Av, Quebec, QC, G1J, CAN"
0024,Éteint,2025-12-31T21:15:39,Permis,952,249840.43800000008,5187419.335999999,-71.22033268696384,46.82405364889101,"215-279 9e Av, Quebec, QC, G1J, CAN"
0025,Hors service,2025-12-31T21:15:39,Feu clignotant hors service,530,249642.75800000038,5187298.551000001,-71.22290882000966,46.82295077817719,"200-286 5e Av, Quebec, QC, G1J, CAN"
0026,Éteint,2025-12-31T21:15:39,Permis,439,249714.92700000014,5187281.700999999,-71.22196099800864,46.822805171560226,"200-282 6e Av, Quebec, QC, G1J, CAN"
0027,Éteint,2025-12-31T21:15:39,Permis,1032,249696.3186250003,5187688.983124999,-71.22225393471714,46.8264673909859,"401-585 Boul Des Capucins, Quebec, QC, G1J, CAN"
0028,Éteint,2025-12-31T21:15:39,Permis,738,249511.26999999955,5187654.851,-71.2246750737996,46.82614502164395,"721-751 7e Rue, Quebec, QC, G1J 3M3, CAN"
0029,Éteint,2025-12-31T21:15:39,Permis,1053,249766.42700000014,5187307.232000001,-71.22128915118167,46.8230390942491,"210-294 7e Av, Quebec, QC, G1J, CAN"
0030,Éteint,2025-12-31T21:15:39,Permis,310,249633.49087500013,5187018.5153749995,-71.2229964957117,46.82043091424684,"318-370 Rue Des Sables, Quebec, QC, G1L, CAN"
0031,Éteint,2025-12-31T21:15:39,Permis,311,249632.61799999978,5187100.605,-71.22301783410437,46.821169289977455,"304-398 1re Rue, Quebec, QC, G1L, CAN"
0032,Éteint,2025-12-31T21:15:39,Permis,441,249834.23599999957,5187229.534,-71.22039115876817,46.822345748277854,"704-798 1re Rue, Quebec, QC, G1J 2X6, CAN"
0033,Éteint,2025-12-31T21:15:39,Permis,1035,249730.5530000003,5187253.7530000005,-71.22175285113933,46.82255505320535,"601-699 2e Rue, Quebec, QC, G1J, CAN"
0034,Éteint,2025-12-31T21:15:39,Permis,739,249554.17300000042,5187150.607000001,-71.22405187989716,46.821612590830085,"301-399 2e Rue, Quebec, QC, G1L, CAN"
0035,Éteint,2025-12-31T21:15:39,Permis,312,249357.37899999972,5187166.955,-71.22663282965311,46.82174330755768,"200-298 3e Rue, Quebec, QC, G1L, CAN"
0036,Éteint,2025-12-31T21:15:39,Permis,957,249591.93962499965,5187283.41475,-71.22357298039992,46.82281040978788,"436-498 3e Rue, Quebec, QC, G1J, CAN"
0037,Éteint,2025-12-31T21:15:39,Permis,740,249705.05599999987,5187367.073999999,-71.22210064302368,46.82357233935795,"601-701 3e Rue, Quebec, QC, G1J 2V5, CAN"
0038,Éteint,2025-12-31T21:15:39,Permis,438,249789.27887499984,5187349.771,-71.22099478722308,46.82342364630418,"263-289 8e Av, Quebec, QC, G1J, CAN"
